Frame 900 | Energy: 100.00 | RPE: -0.0000 | Torque: -0.00
Frame 1000 | Energy: 100.00 | RPE: -0.0000 | Torque: -0.00
Episode ended. Survived 1000 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: -0.0079 | Torque: -0.00
Frame 200 | Energy: 100.00 | RPE: 0.0011 | Torque: -0.00
Frame 300 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 400 | Energy: 100.00 | RPE: 0.0005 | Torque: -0.00
Frame 500 | Energy: 100.00 | RPE: -0.0000 | Torque: -0.00
Frame 600 | Energy: 100.00 | RPE: -0.0000 | Torque: -0.00
Frame 700 | Energy: 100.00 | RPE: -0.0000 | Torque: -0.00
Frame 800 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 900 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Frame 1000 | Energy: 100.00 | RPE: 0.0000 | Torque: -0.00
Episode ended. Survived 1000 frames. Energy: 100.00
